Fecha de Llegada;Tipo de Avi—n
1/05/2023 0:00;Mediano
1/05/2023 0:12;Grande
1/05/2023 0:20;Mediano
1/05/2023 0:31;Peque–o
1/05/2023 0:40;Peque–o
1/05/2023 0:49;Peque–o
1/05/2023 1:00;Mediano
1/05/2023 1:14;Grande
1/05/2023 1:25;Grande
1/05/2023 1:37;Mediano
1/05/2023 1:49;Grande
1/05/2023 1:58;Mediano
1/05/2023 2:12;Grande
1/05/2023 2:23;Mediano
1/05/2023 2:32;Peque–o
1/05/2023 2:40;Grande
1/05/2023 2:49;Peque–o
1/05/2023 3:01;Peque–o
1/05/2023 3:10;Mediano
1/05/2023 3:22;Grande
1/05/2023 3:35;Mediano
1/05/2023 3:44;Grande
1/05/2023 3:53;Mediano
1/05/2023 4:01;Mediano
1/05/2023 4:11;Mediano
1/05/2023 4:20;Mediano
1/05/2023 4:28;Mediano
1/05/2023 4:42;Grande
1/05/2023 4:50;Grande
1/05/2023 4:57;Grande
1/05/2023 5:08;Mediano
1/05/2023 5:20;Mediano
1/05/2023 5:30;Mediano
1/05/2023 5:38;Peque–o
1/05/2023 5:46;Mediano
1/05/2023 5:53;Peque–o
1/05/2023 6:03;Mediano
1/05/2023 6:10;Grande
1/05/2023 6:15;Mediano
1/05/2023 6:29;Mediano
1/05/2023 6:38;Grande
1/05/2023 6:41;Mediano
1/05/2023 6:42;Grande
1/05/2023 6:44;Mediano
1/05/2023 7:09;Grande
1/05/2023 7:11;Mediano
1/05/2023 7:30;Mediano
1/05/2023 7:38;Grande
1/05/2023 7:39;Mediano
1/05/2023 7:40;Grande
1/05/2023 7:44;Mediano
1/05/2023 7:46;Grande
1/05/2023 7:47;Mediano
1/05/2023 7:49;Peque–o
1/05/2023 7:52;Grande
1/05/2023 7:58;Mediano
1/05/2023 8:00;Grande
1/05/2023 8:01;Grande
1/05/2023 8:05;Mediano
1/05/2023 8:05;Mediano
1/05/2023 8:11;Mediano
1/05/2023 8:19;Peque–o
1/05/2023 8:28;Grande
1/05/2023 8:31;Peque–o
1/05/2023 8:32;Peque–o
1/05/2023 8:36;Grande
1/05/2023 8:38;Grande
1/05/2023 8:41;Peque–o
1/05/2023 8:42;Mediano
1/05/2023 8:45;Peque–o
1/05/2023 8:49;Grande
1/05/2023 8:50;Peque–o
1/05/2023 8:52;Peque–o
1/05/2023 8:53;Grande
1/05/2023 8:58;Grande
1/05/2023 9:04;Grande
1/05/2023 9:14;Grande
1/05/2023 9:18;Mediano
1/05/2023 9:20;Peque–o
1/05/2023 9:28;Grande
1/05/2023 9:33;Grande
1/05/2023 9:43;Mediano
1/05/2023 9:52;Mediano
