Persona atendida;Tipo de pasaporte;Tiempo de servicio (minutos)
1;Biométrico;0,349995124
2;Biométrico;2,046627212
3;Biométrico;0,232611757
4;Biométrico;1,085410931
5;Biométrico;2,585408535
6;Biométrico;0,876290825
7;Biométrico;6,06407147
8;Biométrico;0,950956592
9;Biométrico;2,393985384
10;Biométrico;0,335847615
11;Biométrico;1,499437969
12;Biométrico;0,716880946
13;Biométrico;2,253400444
14;Biométrico;0,709142629
15;Biométrico;0,468303217
16;Biométrico;1,291566971
17;Biométrico;0,606073546
18;Biométrico;0,423261393
19;Biométrico;0,854727122
20;Biométrico;0,0152124
21;Biométrico;1,471486591
22;Biométrico;0,601249584
23;Biométrico;1,657435116
24;Biométrico;0,120044589
25;Biométrico;1,329818712
26;Biométrico;0,40838132
27;Biométrico;3,209100547
28;Biométrico;1,464214452
29;Biométrico;0,06845732
30;Biométrico;0,171366401
31;Biométrico;1,389303607
32;Biométrico;0,386608699
33;Biométrico;1,994312963
34;Biométrico;4,140475332
35;Biométrico;2,739647534
36;Biométrico;1,157691838
37;Biométrico;1,191114449
38;Biométrico;1,252157936
39;Biométrico;9,309064106
40;Biométrico;0,079829363
41;Biométrico;1,907896672
42;Biométrico;0,919024875
43;Biométrico;0,75633914
44;Biométrico;4,75908869
45;Biométrico;4,796750884
46;Biométrico;0,589941575
47;Biométrico;0,817308166
48;Biométrico;0,202148911
49;Biométrico;1,069461415
50;Biométrico;0,192902086
51;Biométrico;2,193895082
52;Biométrico;1,762438398
53;Biométrico;0,935427414
54;Biométrico;0,025348975
55;Biométrico;0,289575273
56;Biométrico;1,385610677
57;Biométrico;0,931637611
58;Biométrico;9,089246468
59;Biométrico;2,265521965
60;Biométrico;7,045819711
61;Biométrico;2,371406258
62;Biométrico;0,743698028
63;Biométrico;6,260542698
64;Biométrico;2,052276388
65;Biométrico;7,228069491
66;Biométrico;5,073417693
67;Biométrico;0,238577105
68;Biométrico;1,515263003
69;Biométrico;0,01361294
70;Biométrico;0,123702178
71;Biométrico;0,42635558
72;Biométrico;0,263172216
73;Biométrico;0,774997036
74;Biométrico;0,839876152
75;Biométrico;0,308637081
76;Biométrico;0,680209657
77;Biométrico;0,421003852
78;Biométrico;3,456903968
79;Biométrico;4,489471466
80;Biométrico;1,838064062
81;Biométrico;0,921174461
